store_id,store_name,region,city,size
1,"Rodriguez, Figueroa and Sanchez",Alberta,Grayside,Small
2,Doyle Ltd,British Columbia,Lake Mark,Small
3,"Mcclain, Miller and Henderson",Alberta,East Lydiamouth,Large
4,Davis and Sons,British Columbia,Adamsborough,Medium
5,"Guzman, Hoffman and Baldwin",British Columbia,Jasonfort,Small
6,"Gardner, Robinson and Lawrence",Alberta,Wilkersonmouth,Large
7,Blake and Sons,British Columbia,West Donald,Large
8,"Henderson, Ramirez and Lewis",Ontario,Juliechester,Large
9,Garcia-James,British Columbia,Coxberg,Medium
10,Abbott-Munoz,Quebec,Daviston,Large
11,Blair PLC,Alberta,East Courtneychester,Large
12,Dudley Group,Ontario,South Patrickmouth,Large
13,Arnold Ltd,Alberta,Tashatown,Large
14,"Mcclure, Ward and Lee",Quebec,Lake Nicoleview,Small
15,Williams and Sons,Quebec,Danielchester,Small
16,Galloway-Wyatt,Quebec,South Aaron,Large
17,James Group,British Columbia,Teresaburgh,Medium
18,"Flowers, Martin and Kelly",British Columbia,Port Colleenhaven,Small
19,"Adams, Zuniga and Wong",Alberta,East Nathaniel,Large
20,"Reid, Ferguson and Sanchez",Alberta,New Stephanie,Small
